
	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4031.58 	###

	### 67           	#  3693.25 	###

	### brawl_stars  	#  3427.48 	###

	### jet2holiday  	#  3137.73 	###

	### qwer         	#  2350.93 	###

	### GigaBot      	#  2094.62 	###

	### sudo         	#  1656.80 	###

	### RandomBot67  	#  1524.65 	###

	### 67 Random Search v2 	#   894.67 	###

	### Tier 3 Agent 	#   691.35 	###

	### TA - Dust II B Anchor (Tier 2) 	#   121.14 	###

	###              	#   110.67 	###

	### NikhilxCamilo 	#     0.00 	###

	### TA - Tier 1 Agent 	# -1040.61 	###

	### orange       	# -2025.36 	###

	###########################################

	### RandomBot67  	#   121.64 	###

	### Tier 3 Agent 	#    -4.42 	###

	### TA - Tier 1 Agent 	#  -327.31 	###

	### jet2holiday  	#  -655.42 	###

	### orange       	# -1737.63 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  6534.52 	###

	### sudo         	#  3568.24 	###

	### RandomBot67  	#  3271.21 	###

	### 67           	#  3208.32 	###

	###              	#  2638.52 	###

	### qwer         	#  2284.74 	###

	### jet2holiday  	#  1277.37 	###

	### GigaBot      	#  1134.87 	###

	### orange       	#   889.44 	###

	### NikhilxCamilo 	#   445.70 	###

	### brawl_stars  	#   372.94 	###

	### 67 Random Search v2 	#   154.84 	###

	### TA - Dust II B Anchor (Tier 2) 	#    55.02 	###

	### Tier 3 Agent 	#    -9.44 	###

	### TA - Tier 1 Agent 	# -3947.06 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  2738.21 	###

	### RandomBot67  	#  2618.07 	###

	### qwer         	#  2352.77 	###

	### 67           	#  2344.63 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2090.54 	###

	### sudo         	#  2016.91 	###

	### 67 Random Search v2 	#  1926.65 	###

	### HTandRX's Agent 	#  1322.73 	###

	### orange       	#  1278.69 	###

	### GigaBot      	#  1194.67 	###

	### NikhilxCamilo 	#   859.16 	###

	### brawl_stars  	#   819.29 	###

	### Tier 3 Agent 	#   -14.61 	###

	### jet2holiday  	#  -175.46 	###

	### TA - Tier 1 Agent 	#  -361.07 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  4012.71 	###

	### RandomBot67  	#  2685.97 	###

	### brawl_stars  	#  2438.91 	###

	### 67 Random Search v2 	#  2170.79 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1793.99 	###

	### sudo         	#  1338.85 	###

	### jet2holiday  	#  1292.44 	###

	### NikhilxCamilo 	#  1129.58 	###

	### GigaBot      	#   974.50 	###

	### orange       	#   855.22 	###

	###              	#   782.87 	###

	### TA - Tier 1 Agent 	#   471.16 	###

	### HTandRX's Agent 	#    71.62 	###

	### Tier 3 Agent 	#    -3.36 	###

	### 67           	#   -75.87 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  4086.92 	###

	### GigaBot      	#  3930.94 	###

	### HTandRX's Agent 	#  3725.24 	###

	###              	#  2855.44 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2596.49 	###

	### qwer         	#  2256.22 	###

	### orange       	#  1798.95 	###

	### jet2holiday  	#  1468.25 	###

	### RandomBot67  	#  1020.40 	###

	### 67 Random Search v2 	#   884.76 	###

	### brawl_stars  	#   656.96 	###

	### NikhilxCamilo 	#   127.34 	###

	### Tier 3 Agent 	#    34.38 	###

	### sudo         	#    19.25 	###

	### TA - Tier 1 Agent 	#  -853.98 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### NikhilxCamilo 	#  3799.05 	###

	### sudo         	#  2694.08 	###

	### jet2holiday  	#  2060.50 	###

	### GigaBot      	#  2043.43 	###

	### orange       	#  1853.36 	###

	### RandomBot67  	#  1780.61 	###

	### qwer         	#  1546.30 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1076.59 	###

	###              	#   880.84 	###

	### 67           	#   737.84 	###

	### brawl_stars  	#   701.74 	###

	### HTandRX's Agent 	#   253.71 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#   -10.44 	###

	### TA - Tier 1 Agent 	#  -871.58 	###

	###########################################

	@@@ WINNER: NikhilxCamilo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  4370.15 	###

	### qwer         	#  4205.77 	###

	### NikhilxCamilo 	#  4044.57 	###

	### RandomBot67  	#  3481.46 	###

	###              	#  3027.51 	###

	### 67           	#  1929.15 	###

	### jet2holiday  	#  1876.99 	###

	### sudo         	#  1555.98 	###

	### Tier 3 Agent 	#  1212.96 	###

	### 67 Random Search v2 	#   937.61 	###

	### orange       	#   473.28 	###

	### TA - Dust II B Anchor (Tier 2) 	#   331.33 	###

	### HTandRX's Agent 	#   -69.16 	###

	### GigaBot      	#  -210.53 	###

	### TA - Tier 1 Agent 	#  -970.97 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  3400.56 	###

	### HTandRX's Agent 	#  2883.40 	###

	### GigaBot      	#  2606.18 	###

	### RandomBot67  	#  2238.08 	###

	### 67 Random Search v2 	#  2120.51 	###

	### brawl_stars  	#  2059.47 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1687.13 	###

	### sudo         	#  1239.83 	###

	### NikhilxCamilo 	#  1122.67 	###

	### qwer         	#   901.98 	###

	### 67           	#   192.78 	###

	### Tier 3 Agent 	#    -4.53 	###

	### jet2holiday  	#   -48.85 	###

	### TA - Tier 1 Agent 	#  -608.10 	###

	### orange       	# -1264.38 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67 Random Search v2 	#  4122.77 	###

	### TA - Dust II B Anchor (Tier 2) 	#  4037.81 	###

	###              	#  2494.04 	###

	### brawl_stars  	#  2346.27 	###

	### NikhilxCamilo 	#  2288.86 	###

	### sudo         	#  2018.07 	###

	### RandomBot67  	#  1846.00 	###

	### GigaBot      	#  1758.09 	###

	### qwer         	#  1234.44 	###

	### jet2holiday  	#  1083.45 	###

	### 67           	#   231.67 	###

	### HTandRX's Agent 	#     0.00 	###

	### Tier 3 Agent 	#    -2.29 	###

	### orange       	#   -68.68 	###

	### TA - Tier 1 Agent 	# -1154.79 	###

	###########################################

	@@@ WINNER: 67 Random Search v2 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  3742.86 	###

	### NikhilxCamilo 	#  2872.73 	###

	###              	#  2499.23 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1628.23 	###

	### qwer         	#  1613.88 	###

	### brawl_stars  	#  1575.90 	###

	### orange       	#  1363.07 	###

	### RandomBot67  	#  1359.65 	###

	### GigaBot      	#  1237.88 	###

	### sudo         	#  1069.65 	###

	### 67 Random Search v2 	#   727.16 	###

	### 67           	#     0.00 	###

	### Tier 3 Agent 	#    -5.50 	###

	### jet2holiday  	#  -250.63 	###

	### TA - Tier 1 Agent 	#  -376.56 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  6842.65 	###

	### jet2holiday  	#  4773.33 	###

	###              	#  2827.19 	###

	### HTandRX's Agent 	#  2344.94 	###

	### NikhilxCamilo 	#  1957.16 	###

	### TA - Tier 1 Agent 	#  1776.75 	###

	### 67           	#  1695.97 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1687.79 	###

	### orange       	#  1623.64 	###

	### RandomBot67  	#  1476.18 	###

	### qwer         	#  1394.31 	###

	### 67 Random Search v2 	#  1149.61 	###

	### brawl_stars  	#  1032.64 	###

	### sudo         	#   306.67 	###

	### Tier 3 Agent 	#   -14.00 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### orange       	#  3249.46 	###

	###              	#  3046.74 	###

	### NikhilxCamilo 	#  2434.25 	###

	### 67           	#  2232.69 	###

	### 67 Random Search v2 	#  1908.99 	###

	### sudo         	#  1869.65 	###

	### qwer         	#  1753.01 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1723.04 	###

	### jet2holiday  	#  1124.50 	###

	### RandomBot67  	#   396.06 	###

	### HTandRX's Agent 	#   291.18 	###

	### Tier 3 Agent 	#   -11.02 	###

	### brawl_stars  	#  -472.68 	###

	### GigaBot      	#  -828.58 	###

	### TA - Tier 1 Agent 	# -1651.76 	###

	###########################################

	@@@ WINNER: orange @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  4834.99 	###

	###              	#  4071.09 	###

	### brawl_stars  	#  3836.86 	###

	### sudo         	#  2512.92 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2360.40 	###

	### qwer         	#  1999.02 	###

	### RandomBot67  	#   976.72 	###

	### GigaBot      	#   954.81 	###

	### orange       	#   934.64 	###

	### HTandRX's Agent 	#   265.78 	###

	### NikhilxCamilo 	#    94.04 	###

	### 67 Random Search v2 	#    58.48 	###

	### Tier 3 Agent 	#     5.39 	###

	### jet2holiday  	#  -724.52 	###

	### TA - Tier 1 Agent 	#  -809.03 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4547.47 	###

	### sudo         	#  3047.11 	###

	### RandomBot67  	#  2610.69 	###

	### 67           	#  2392.50 	###

	###              	#  1672.41 	###

	### TA - Tier 1 Agent 	#   998.80 	###

	### brawl_stars  	#   911.82 	###

	### GigaBot      	#   902.11 	###

	### qwer         	#   634.88 	###

	### HTandRX's Agent 	#   628.90 	###

	### 67 Random Search v2 	#   333.89 	###

	### orange       	#   327.89 	###

	### jet2holiday  	#    99.45 	###

	### Tier 3 Agent 	#    -2.19 	###

	### NikhilxCamilo 	#  -236.36 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4245.81 	###

	### brawl_stars  	#  3415.42 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3229.86 	###

	### orange       	#  2646.52 	###

	### qwer         	#  2393.49 	###

	###              	#  2116.05 	###

	### GigaBot      	#  2075.99 	###

	### 67           	#  1789.84 	###

	### RandomBot67  	#  1774.02 	###

	### 67 Random Search v2 	#  1346.78 	###

	### jet2holiday  	#  1327.87 	###

	### NikhilxCamilo 	#  1045.01 	###

	### sudo         	#   270.71 	###

	### Tier 3 Agent 	#    -6.67 	###

	### TA - Tier 1 Agent 	#  -992.57 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  3752.63 	###

	### 67           	#  3355.08 	###

	### RandomBot67  	#  3161.45 	###

	### sudo         	#  2002.61 	###

	### NikhilxCamilo 	#  1684.65 	###

	### qwer         	#  1170.51 	###

	###              	#  1027.51 	###

	### brawl_stars  	#  1027.49 	###

	### 67 Random Search v2 	#   878.71 	###

	### jet2holiday  	#   690.90 	###

	### TA - Dust II B Anchor (Tier 2) 	#   443.76 	###

	### orange       	#   419.63 	###

	### Tier 3 Agent 	#    -9.59 	###

	### GigaBot      	#  -365.89 	###

	### TA - Tier 1 Agent 	#  -978.26 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  6825.88 	###

	### sudo         	#  3857.22 	###

	### qwer         	#  3751.01 	###

	### jet2holiday  	#  3411.85 	###

	### orange       	#  2270.98 	###

	### 67 Random Search v2 	#  1663.60 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1352.06 	###

	### brawl_stars  	#  1339.84 	###

	### HTandRX's Agent 	#  1001.48 	###

	### RandomBot67  	#   435.03 	###

	###              	#     8.85 	###

	### GigaBot      	#     0.00 	###

	### Tier 3 Agent 	#   -21.21 	###

	### NikhilxCamilo 	#   -33.98 	###

	### TA - Tier 1 Agent 	# -2412.99 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4347.32 	###

	### GigaBot      	#  4064.28 	###

	### sudo         	#  3644.47 	###

	### brawl_stars  	#  3254.80 	###

	### qwer         	#  2947.76 	###

	### HTandRX's Agent 	#  1762.89 	###

	###              	#   687.07 	###

	### jet2holiday  	#   575.42 	###

	### 67           	#   553.10 	###

	### RandomBot67  	#   518.57 	###

	### 67 Random Search v2 	#     3.91 	###

	### Tier 3 Agent 	#    -4.41 	###

	### NikhilxCamilo 	#   -18.54 	###

	### orange       	#  -248.25 	###

	### TA - Tier 1 Agent 	#  -476.35 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  4043.14 	###

	###              	#  3710.67 	###

	### HTandRX's Agent 	#  3681.57 	###

	### 67 Random Search v2 	#  2278.27 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1678.81 	###

	### 67           	#  1198.17 	###

	### NikhilxCamilo 	#  1078.24 	###

	### qwer         	#   949.60 	###

	### jet2holiday  	#   920.94 	###

	### sudo         	#   900.99 	###

	### GigaBot      	#   896.74 	###

	### orange       	#    69.74 	###

	### RandomBot67  	#    27.50 	###

	### Tier 3 Agent 	#   -11.82 	###

	### TA - Tier 1 Agent 	# -1720.04 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  5760.69 	###

	### HTandRX's Agent 	#  4228.71 	###

	### jet2holiday  	#  3185.56 	###

	### RandomBot67  	#  2318.39 	###

	###              	#  1954.38 	###

	### 67 Random Search v2 	#  1892.13 	###

	### qwer         	#  1521.09 	###

	### brawl_stars  	#  1130.91 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1036.80 	###

	### GigaBot      	#   819.16 	###

	### orange       	#   781.77 	###

	### 67           	#    15.90 	###

	### Tier 3 Agent 	#    -8.46 	###

	### NikhilxCamilo 	#  -248.25 	###

	### TA - Tier 1 Agent 	# -1396.73 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67 Random Search v2 	#  3506.46 	###

	###              	#  3372.11 	###

	### qwer         	#  3036.86 	###

	### jet2holiday  	#  2566.39 	###

	### HTandRX's Agent 	#  2051.14 	###

	### brawl_stars  	#  1035.81 	###

	### TA - Dust II B Anchor (Tier 2) 	#   876.10 	###

	### RandomBot67  	#   484.28 	###

	### sudo         	#   296.68 	###

	### 67           	#   288.90 	###

	### NikhilxCamilo 	#     0.00 	###

	### Tier 3 Agent 	#    -2.47 	###

	### orange       	#  -721.49 	###

	### TA - Tier 1 Agent 	# -1742.03 	###

	### GigaBot      	# -2218.45 	###

	###########################################

	@@@ WINNER: 67 Random Search v2 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4140.26 	###

	### HTandRX's Agent 	#  3556.94 	###

	### RandomBot67  	#  3064.54 	###

	### qwer         	#  2442.80 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1543.03 	###

	### 67           	#  1245.67 	###

	### GigaBot      	#  1240.28 	###

	### NikhilxCamilo 	#  1214.59 	###

	### sudo         	#  1043.69 	###

	### brawl_stars  	#   940.64 	###

	### jet2holiday  	#   607.53 	###

	### Tier 3 Agent 	#   303.99 	###

	### 67 Random Search v2 	#     0.00 	###

	### TA - Tier 1 Agent 	#  -354.60 	###

	### orange       	# -1531.18 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  5694.77 	###

	### RandomBot67  	#  4005.32 	###

	### brawl_stars  	#  2480.05 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2430.63 	###

	### HTandRX's Agent 	#  1992.43 	###

	### sudo         	#  1931.24 	###

	### qwer         	#  1515.52 	###

	### jet2holiday  	#   501.52 	###

	### NikhilxCamilo 	#   451.39 	###

	### 67           	#   326.88 	###

	### 67 Random Search v2 	#    43.14 	###

	### Tier 3 Agent 	#     2.11 	###

	### GigaBot      	#  -171.59 	###

	### orange       	#  -447.78 	###

	### TA - Tier 1 Agent 	# -2003.84 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  3385.63 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2926.07 	###

	### jet2holiday  	#  2898.34 	###

	###              	#  2895.56 	###

	### sudo         	#  1614.02 	###

	### GigaBot      	#  1280.78 	###

	### RandomBot67  	#  1178.53 	###

	### brawl_stars  	#  1100.07 	###

	### qwer         	#  1047.14 	###

	### 67           	#   531.04 	###

	### 67 Random Search v2 	#   367.51 	###

	### Tier 3 Agent 	#   200.15 	###

	### orange       	#   181.99 	###

	### NikhilxCamilo 	#  -287.41 	###

	### TA - Tier 1 Agent 	#  -649.09 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  4910.20 	###

	###              	#  2133.60 	###

	### HTandRX's Agent 	#  2104.46 	###

	### 67 Random Search v2 	#  1866.50 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1804.32 	###

	### qwer         	#  1588.07 	###

	### brawl_stars  	#  1459.57 	###

	### orange       	#  1268.37 	###

	### sudo         	#   932.62 	###

	### NikhilxCamilo 	#   884.00 	###

	### TA - Tier 1 Agent 	#   834.51 	###

	### GigaBot      	#   580.47 	###

	### RandomBot67  	#   513.45 	###

	### jet2holiday  	#   229.57 	###

	### Tier 3 Agent 	#    72.98 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  4582.27 	###

	### sudo         	#  3558.08 	###

	### jet2holiday  	#  2690.11 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2287.63 	###

	### brawl_stars  	#  2260.04 	###

	### GigaBot      	#  1640.23 	###

	### qwer         	#  1592.96 	###

	### NikhilxCamilo 	#  1408.80 	###

	### orange       	#  1263.00 	###

	### 67 Random Search v2 	#   597.83 	###

	###              	#   284.54 	###

	### HTandRX's Agent 	#    47.51 	###

	### 67           	#    36.87 	###

	### Tier 3 Agent 	#    -3.40 	###

	### TA - Tier 1 Agent 	# -1225.25 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  6257.13 	###

	### HTandRX's Agent 	#  4086.41 	###

	### 67 Random Search v2 	#  2658.82 	###

	### 67           	#  2250.13 	###

	### RandomBot67  	#  2149.52 	###

	### jet2holiday  	#  1854.46 	###

	###              	#  1498.17 	###

	### TA - Tier 1 Agent 	#  1300.83 	###

	### TA - Dust II B Anchor (Tier 2) 	#   911.96 	###

	### NikhilxCamilo 	#   698.25 	###

	### sudo         	#   657.47 	###

	### brawl_stars  	#   124.50 	###

	### Tier 3 Agent 	#    -3.77 	###

	### GigaBot      	#  -267.65 	###

	### orange       	#  -735.92 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  3855.01 	###

	### brawl_stars  	#  3270.66 	###

	### HTandRX's Agent 	#  3123.98 	###

	### qwer         	#  2768.54 	###

	###              	#  2605.40 	###

	### orange       	#  2347.66 	###

	### NikhilxCamilo 	#  1586.58 	###

	### GigaBot      	#  1247.18 	###

	### jet2holiday  	#   777.14 	###

	### TA - Dust II B Anchor (Tier 2) 	#   575.51 	###

	### 67 Random Search v2 	#   272.81 	###

	### RandomBot67  	#   231.23 	###

	### 67           	#   140.78 	###

	### Tier 3 Agent 	#    -5.39 	###

	### TA - Tier 1 Agent 	# -1867.05 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  3688.68 	###

	### 67           	#  2992.90 	###

	### brawl_stars  	#  2898.99 	###

	### GigaBot      	#  2767.30 	###

	### NikhilxCamilo 	#  2712.45 	###

	### orange       	#  1183.88 	###

	###              	#   843.03 	###

	### sudo         	#   537.49 	###

	### jet2holiday  	#   422.80 	###

	### TA - Dust II B Anchor (Tier 2) 	#   299.84 	###

	### RandomBot67  	#   186.24 	###

	### qwer         	#    65.35 	###

	### 67 Random Search v2 	#    -1.61 	###

	### Tier 3 Agent 	#    -2.77 	###

	### TA - Tier 1 Agent 	# -1744.22 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  4138.33 	###

	### jet2holiday  	#  4028.28 	###

	### HTandRX's Agent 	#  2697.72 	###

	### sudo         	#  2492.00 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2428.90 	###

	### 67           	#  2184.25 	###

	### GigaBot      	#  1949.94 	###

	### TA - Tier 1 Agent 	#  1761.27 	###

	###              	#  1324.87 	###

	### RandomBot67  	#   358.03 	###

	### Tier 3 Agent 	#   323.91 	###

	### 67 Random Search v2 	#   309.62 	###

	### NikhilxCamilo 	#   302.66 	###

	### orange       	#  -906.94 	###

	### brawl_stars  	# -1415.69 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  6219.88 	###

	### GigaBot      	#  3858.99 	###

	###              	#  3533.61 	###

	### qwer         	#  2860.54 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2587.00 	###

	### RandomBot67  	#  1245.69 	###

	### HTandRX's Agent 	#   992.98 	###

	### orange       	#   611.37 	###

	### 67 Random Search v2 	#   157.39 	###

	### jet2holiday  	#    83.97 	###

	### Tier 3 Agent 	#    48.55 	###

	### NikhilxCamilo 	#    26.61 	###

	### 67           	#     0.00 	###

	### brawl_stars  	#  -680.24 	###

